"label","mean position","mean position in standard space","sulcus: area: total","sulcus: mean curvature: median (weighted)","sulcus: mean curvature: median absolute deviation (weighted)","sulcus: mean curvature: mean (weighted)","sulcus: mean curvature: standard deviation (weighted)","sulcus: mean curvature: skew (weighted)","sulcus: mean curvature: kurtosis (weighted)","sulcus: mean curvature: lower quartile (weighted)","sulcus: mean curvature: upper quartile (weighted)","sulcus: travel depth: median (weighted)","sulcus: travel depth: median absolute deviation (weighted)","sulcus: travel depth: mean (weighted)","sulcus: travel depth: standard deviation (weighted)","sulcus: travel depth: skew (weighted)","sulcus: travel depth: kurtosis (weighted)","sulcus: travel depth: lower quartile (weighted)","sulcus: travel depth: upper quartile (weighted)","sulcus: geodesic depth: median (weighted)","sulcus: geodesic depth: median absolute deviation (weighted)","sulcus: geodesic depth: mean (weighted)","sulcus: geodesic depth: standard deviation (weighted)","sulcus: geodesic depth: skew (weighted)","sulcus: geodesic depth: kurtosis (weighted)","sulcus: geodesic depth: lower quartile (weighted)","sulcus: geodesic depth: upper quartile (weighted)","sulcus: convexity: median (weighted)","sulcus: convexity: median absolute deviation (weighted)","sulcus: convexity: mean (weighted)","sulcus: convexity: standard deviation (weighted)","sulcus: convexity: skew (weighted)","sulcus: convexity: kurtosis (weighted)","sulcus: convexity: lower quartile (weighted)","sulcus: convexity: upper quartile (weighted)","sulcus: thickness: median (weighted)","sulcus: thickness: median absolute deviation (weighted)","sulcus: thickness: mean (weighted)","sulcus: thickness: standard deviation (weighted)","sulcus: thickness: skew (weighted)","sulcus: thickness: kurtosis (weighted)","sulcus: thickness: lower quartile (weighted)","sulcus: thickness: upper quartile (weighted)","sulcus spectrum","sulcus spectrum (normalized)"
"0","[-7.7135468108385865, 64.27603841805033, 34.74792564247933]","[-4.956647274811416, 52.46590759668563, 8.097847135260334]","1775.8347451","-1.43995","1.24464","-1.4888218683","5.17459320199","-13.3070270306","80.5025674397","-2.75166","-0.267138","5.480145","1.997085","5.82695848658","8.17332290224","-8.84759219823","139.487450662","3.59597","7.58364","0.144113","0.046842","0.152813190923","0.0046835098451","-0.000145829623058","4.70628703064e-05","0.0996662","0.195969","0.156483881176","0.222111202776","0.145148026551","0.107230561224","-0.0392505598848","0.0331225408388","-0.0759842544794","0.373760789633","2.56354284286","0.275079727173","2.57205915885","0.164426057707","0.0166132990861","0.0864264625691","2.29202675819","2.84496307373","",""
"1","[-19.676649447769627, 35.07464612484556, 56.90815139782537]","[-16.86672931867793, 35.39321810722178, 38.54835725115586]","1331.5022443","-1.52478","1.57316","-1.42807799588","7.13857998026","-18.5450762312","122.866309924","-3.09794","0.0495811","6.23703","2.767695","6.90269022408","15.1407344004","-30.7011936869","410.595943943","3.77593","9.4955775","0.167786","0.065223","0.181280658061","0.00852512272724","-0.000444846146201","0.000131431646259","0.10650825","0.24413","0.126740112901","0.230367965996","0.169139759379","0.137438731174","-0.0383912427726","0.0444244566956","-0.0766624063253","0.403081178665","2.56200504303","0.331487894058","2.53969766429","0.240507029965","0.0306563832041","0.158697147045","2.22981894016","2.89103841782","",""
"2","[-37.81800580182874, 34.260232186570974, 39.05591676630104]","[-33.58358854728347, 28.629674332330314, 23.88296906738358]","611.6668188","-1.49863","1.78216","-1.56897128209","7.89588901667","-25.1153985514","197.864753771","-3.22023","0.331949","9.18206","3.37234","9.14470523587","19.3591271903","-69.4443394762","799.977245637","5.75703","12.39415","0.249011","0.095239","0.248523814916","0.0141184166168","-0.00142815538915","0.000401226800676","0.151338","0.342774","-0.119505286217","0.289213642478","-0.0856626426163","0.219314092118","-0.103198163823","0.125041637803","-0.378780066967","0.198693010956","2.49178886414","0.303040504456","2.47342028681","0.202436853392","0.0152618663883","0.103148315225","2.16812944412","2.78650093079","",""
"3","[-34.063636493142, 18.00938264470609, 38.57667251869506]","[-30.7151586648426, 13.721847351795006, 30.504983694938094]","5383.7832894","-2.84425","1.950481","-2.78295339652","10.3649664731","-37.5227425266","270.80603515","-4.77487","-0.874007","9.52067","4.49224","10.355583758","41.1754754634","-114.832472928","3441.69438349","5.34602","14.5298","0.250823","0.106599","0.274329355509","0.0256144892178","-0.00119594218006","0.00143866460447","0.152964","0.372269","-0.00271040410735","0.390546174953","0.0505251203718","0.389357181755","-0.233690468724","0.349799934276","-0.358024448156","0.430898457766","2.85612535477","0.290095090866","2.81094857474","0.185185695742","0.0296555756958","0.091757352851","2.52479028702","3.11265277863","",""
"4","[-42.197078016059145, -2.9388739147861185, 34.30203602432585]","[-38.919325268349, -6.3060751223448275, 35.78787224530109]","2778.23068","-1.74124","1.89284","-1.67747589489","8.1457950703","-14.5959296738","164.136839244","-3.66121","0.122657","8.96932","4.18649","9.91288365862","33.0099836158","83.7511211541","2624.88972016","5.0955","13.7381","0.228582","0.100681","0.255244274065","0.0208610238437","0.00187851822205","0.00121059144914","0.137873","0.345909","0.00362680922262","0.355421616929","0.0515994300133","0.279156331707","-0.071204960653","0.193664859777","-0.320034921169","0.40309664607","2.36176729202","0.495270729065","2.27455951319","0.46378115378","-0.0496144118169","0.45074885883","1.75066745281","2.81017255783","",""
"5","[-35.08791362046603, -21.75178618557282, 35.58168303164324]","[-33.060202026574125, -22.985436930193472, 45.01390081484656]","3425.5878585","-1.60704","1.5882734","-1.55881009779","6.66331973698","-13.4671136135","118.459993357","-3.24092","-0.0439567","7.3424","3.27311","8.59890409469","29.2112738866","114.685519145","2911.3598317","4.4399","11.3065","0.190399","0.08041","0.223620454286","0.0188415038543","0.00218489527157","0.00130095584251","0.11971","0.290719","0.0133162280545","0.300734355114","0.0439744661213","0.212862721852","-0.064099881538","0.117121893469","-0.27017685771","0.340041071177","2.22831368446","0.431477427483","2.22998551808","0.334928944054","0.078627899518","0.276851084498","1.79209578037","2.65245056152","",""
"6","[-30.59165046450026, -43.964821111640894, 26.313958676532675]","[-29.752232756287157, -46.64671784535786, 46.97836080046993]","3570.0529151","-1.81171","1.88142","-1.77733781349","8.86786250004","-24.8521158075","197.99528598","-3.73458","0.0385323","9.3396","4.2983","10.1347122365","34.3585170703","-62.6320408348","2327.47524799","5.35584","14.0934","0.238377","0.103627","0.25947839602","0.0206852732987","-0.000823477333874","0.000844510329182","0.143198","0.355824","0.0570881441236","0.361833579838","0.141149637427","0.319988286449","-0.107098359931","0.213619685655","-0.261205583811","0.488706558943","2.18079638481","0.292108535767","2.16613493149","0.190273343537","0.0149582516881","0.107765218216","1.8817294836","2.46810007095","",""
"7","[-41.847880338692654, -37.15657863051538, 24.088027457888508]","[-39.836589514988766, -40.88989770784814, 42.02456358662915]","1219.2265115","-2.30677","1.883821","-2.30988993457","7.17359148413","-16.0181955581","118.776411393","-4.31273","-0.562144","8.88142","4.31103","9.83419521484","31.1561878987","-31.8989925577","1751.49716611","5.09905","14.1704","0.234312","0.106851","0.253452734071","0.0186564999928","-0.000424974301113","0.000641945677889","0.135517","0.355869","-0.10309125483","0.326616838574","-0.0560743510932","0.256592467042","-0.0839584980941","0.165189256693","-0.389028131962","0.268477857113","2.48309254646","0.225306749344","2.48149468331","0.132344882939","0.010406634611","0.0580353111496","2.26023483276","2.70912790298","",""
"8","[-48.8152224757464, -21.517334611631718, 12.969776012454881]","[-45.71191543695825, -30.843558496362174, 26.07536854585804]","1735.6044251","-2.01266","2.149209","-2.2186620388","10.8470641752","-42.3647031618","297.704807724","-4.47463","-0.113125","10.6534","4.95508","11.6749483727","48.3348246087","-81.8298513232","4882.12768009","6.17508","16.1857","0.281667","0.125386","0.307899285137","0.0302390657995","-0.00101117295523","0.00190714587408","0.1685","0.426991","0.0237046852708","0.344830103219","0.0742071183025","0.312068347234","-0.129037608071","0.216424582772","-0.303734302521","0.384818136692","2.59866428375","0.331711769104","2.59672890624","0.212215028634","0.050169157362","0.119677162641","2.26515197754","2.92753171921","",""
"9","[-34.96836053358057, -54.91449773346827, -6.913290365208926]","[-34.26494185341892, -69.03220196700947, 24.27824322811087]","3319.7499643","-1.86753","1.517364","-1.66766896981","7.71908613203","-17.7914411612","155.818204376","-3.3059275","-0.219702","7.9555","3.20354","8.63402335129","22.3459847605","-20.7635812604","1135.49316334","5.01197","11.614125","0.210137","0.080024","0.223935479193","0.0132599704639","-0.000252166531472","0.000420921797297","0.135278","0.297546","0.125528350472","0.299160972238","0.152978160189","0.219110188763","-0.0866496389275","0.118640715158","-0.154954224825","0.443315953016","2.21156692505","0.267723083496","2.21105491282","0.156710379505","0.0150090890733","0.0678342597813","1.95085525513","2.48879432678","",""
"10","[-43.25352554160205, -41.09943425445741, -16.38667767658763]","[-41.40617838239615, -59.925946432865665, 10.434313819923588]","655.9631096","-2.92901","1.59268","-2.71276103901","8.91228921926","-17.6831108305","187.113958273","-4.5646","-1.44819","10.755","4.38167","11.3294298114","40.0230681057","-155.486408082","3044.3786357","6.38393","15.24775","0.2862","0.103999","0.304045114305","0.0262742560485","-0.00205002814664","0.00133241593844","0.182201","0.389853","0.176942780614","0.386880725622","0.246823072336","0.334734520151","-0.151739900815","0.234468606539","-0.154461190104","0.625305116177","2.38313674927","0.242795705795","2.34627088255","0.124988145975","-0.00860663697657","0.0476163167421","2.11054253578","2.59976887703","",""
"11","[-50.02151293291718, -1.7838814135370362, -5.572620005095135]","[-46.19017695591794, -20.25185502708714, 2.3889998065978055]","3849.3295601","-2.5821","1.65781","-2.36698455872","7.62656275339","-18.1420585459","153.426659957","-4.07078","-0.731323","9.74817","4.23403","10.2104468587","30.6517282787","-90.1341143678","1810.26226526","5.70096","14.168","0.255974","0.105248","0.269100130871","0.0188556341309","-0.00128634669749","0.00067779187907","0.157912","0.369829","-0.00941916927695","0.308353755623","0.0605671306229","0.269284664813","-0.0840136940456","0.162923248415","-0.285018801689","0.355818361044","2.67690229416","0.393660545349","2.73065275133","0.369756400805","0.19868407555","0.513261685081","2.31725788116","3.10967350006","",""
"12","[-52.3776400655972, -17.616781808311316, -15.008886691303672]","[-48.93853480989499, -37.9504597714517, 1.3572598767533344]","1536.727133","-2.19121","1.410841","-2.17868854619","5.58090668907","-15.2612424023","92.6786430557","-3.57853","-0.748534","6.6591","3.08918","8.02860717165","25.4903915442","68.5596541291","1647.24944283","4.01468","10.8742","0.17103","0.0735049","0.209607446368","0.016422850326","0.00127736445321","0.000685387705948","0.109197","0.279939","-0.0978176891804","0.234005540609","-0.0606666883501","0.195399943796","-0.0412985991421","0.109768937318","-0.323517054319","0.151068948209","2.64201164246","0.283759593964","2.67646911189","0.20416546163","0.0508464990249","0.195026690528","2.38396692276","2.95433330536","",""
"13","[-34.78731447813734, 23.647270461986903, 5.88586169458994]","[-31.295947598822817, 6.2274613078517165, 1.2283296465254596]","3062.2013035","-2.12153","1.80037","-2.21308690862","8.64978977425","-30.1562819905","249.513534497","-3.91589","-0.316076","17.6748","4.422","17.2496716346","58.2478832748","-432.822321817","9411.8995149","12.9401","21.8272","0.655694","0.222296","0.593396518822","0.0795427984859","-0.016596218132","0.012654100613","0.357202","0.842368","0.103068977594","0.374147832394","0.12982205752","0.399948761711","-0.291426375427","0.487928075316","-0.205765932798","0.552001833916","3.2508764267","0.545031070709","3.3614748307","0.742163257163","0.483784813808","1.49854855083","2.77614307404","3.9226732254","",""
"14","[-44.8395906578565, -6.451002682959532, 7.568838369565522]","[-41.55873714529838, -19.613433879214163, 15.277760804814141]","1290.007581","-2.37745","1.28463","-2.05114541826","5.20214881408","-5.5917364697","73.720999866","-3.4923","-0.773252","15.2547","6.6842","15.5968366805","70.6192832672","-379.46712349","9719.58551822","8.86849","22.0534","0.379795","0.164324","0.390729385484","0.0425477900205","-0.00483489237983","0.00348623719136","0.221703","0.551233","0.0251109823585","0.366459779441","0.0954428116704","0.376982994057","-0.131193906003","0.31765935808","-0.31248664856","0.419605493546","2.56213617325","0.255456924438","2.5544962376","0.183191887655","-0.0155731879655","0.135099316998","2.30204319954","2.81380271912","",""
"15","[-7.845089788597344, -17.868029008282598, 34.42160947530892]","[-7.961959507271696, -21.205460926213032, 42.92512685948592]","2637.6173562","-1.85069","1.52306","-1.55885941447","6.88175636751","-13.5809757578","113.573718457","-3.20172","-0.102635","6.83567","2.68743","7.34893404842","14.7225157857","-19.369784297","440.420429367","4.33579","9.82691","0.181497","0.064879","0.195088026618","0.00867973032608","-0.000269452105684","0.000152731750292","0.122403","0.254324","0.231731534004","0.246685355902","0.262658763266","0.156276252227","-0.0483958829056","0.063690531443","0.00925692357123","0.506130695343","2.38044023514","0.250779628754","2.3966526074","0.191257420183","0.0343133914751","0.132800556754","2.14706945419","2.6482052803","",""
"16","[-5.669942984656979, -1.6540524678204858, 48.92839997707643]","[-5.348163457921361, -1.206752966850543, 47.95574202494513]","1048.0942904","-1.49679","1.5413568","-1.29689256267","5.84120625516","-12.7064123181","74.3278769537","-2.91352","0.18608","5.57363","2.13351","6.11829215671","10.2908327828","-2.51439128218","247.102840371","3.6756","8.06779","0.159342","0.05082","0.170207143387","0.00584537956229","-6.61142536115e-05","7.81831658982e-05","0.111099","0.215059","0.167860105634","0.197557047009","0.20112248064","0.0991561094844","-0.0172438097464","0.0228003510787","-0.0130082098767","0.390653118491","2.67884039879","0.294920444489","2.62087826444","0.188107825718","0.0415049182434","0.0838065270397","2.32789039612","2.92847394943","",""
"17","[-12.62173639764859, -53.534000594511504, 2.7409713683554346]","[-13.703364040949168, -65.10860677614279, 32.048365574584984]","2368.6043076","-2.10965","1.962705","-1.99909808271","8.32089536779","-18.8512651769","161.861594008","-4.02965","-0.09651895","9.87572","4.74703","10.3295851332","32.6656092156","-53.7865793127","2044.54550683","5.29874","14.767","0.26202","0.128389","0.284225437528","0.0250057321791","-0.00060931041279","0.00113255647033","0.145313","0.409382","-0.0939870551229","0.403227679431","-0.00129947085898","0.347260638651","-0.10405808822","0.243580915378","-0.443929702044","0.404804170132","2.09186935425","0.290515184402","2.06600256456","0.203900165755","-0.00689257194286","0.115315080191","1.78849506378","2.37097358704","",""
"18","[-12.330868900465495, -48.471511617358765, -20.792507169344738]","[-13.342241502759789, -69.64207909827992, 10.55934364271234]","1304.58630653","-1.87299","1.502487","-1.74208842134","6.67864240149","-3.39795809383","149.5352124","-3.37089","-0.327465","8.19082","3.78272","8.96891020276","25.7027175009","20.0733766687","1424.20976849","4.77917","12.549","0.231977","0.098671","0.26477949584","0.0220480122674","0.00191208069656","0.00130272807398","0.144934","0.35455175","-0.0669941753149","0.322181805968","-0.0153076044263","0.252096684282","0.000224330123269","0.169475394881","-0.367005944252","0.28326433897","1.35582637787","0.294472455978","1.40063673957","0.265860091903","0.0131816379576","0.291894281643","1.08039307594","1.68225240707","",""
"19","[-1.892533222396631, 68.58433999385048, 18.823070533157242]","[0.47284772342609654, 49.93008648418464, -6.712549993872161]","276.5916232","-1.18469","0.77187","-0.843832917132","2.9512720857","-2.24163184315","18.2240572226","-1.84788","-0.157991","4.43262","1.38822","4.5528053123","3.1188461755","-3.49329206315","18.1991093287","3.08434","5.84559","0.120396","0.0297902","0.122660587088","0.00161879585982","-5.05401569431e-05","5.36233527767e-06","0.0912847","0.151733","0.146287381649","0.134112028405","0.098713418449","0.0516401700519","-0.0166055960619","0.00925589368857","-0.0388107858598","0.259981125593","2.10331630707","0.251381635666","2.17545113787","0.170512063128","0.0380929639234","0.0953264436134","1.87070775032","2.406727314","",""
"22","[-14.483829443039745, 38.65558181610744, -2.544446704980445]","[-12.192256869933223, 15.490322175315708, -11.719151196955938]","2739.74663336","-2.23367","1.784474","-2.06855111113","7.72246289575","-10.7973632303","165.128400865","-3.89785","-0.291597","8.15092","4.11778","8.79849661134","25.9432359982","-20.2047432917","1285.05558694","4.47613","12.8972","0.253691","0.124763","0.290810403983","0.0296440471335","0.00170002221764","0.00179104228685","0.146191","0.412327","-0.031126158312","0.27536826022","-0.0140253693437","0.171893542629","-0.0323732287675","0.0815073740366","-0.278021126986","0.274317920208","2.77741098404","0.523555517197","2.49100310431","1.49255144003","-1.29114098431","6.64832275554","2.06102395058","3.20742881298","",""
"23","[-41.30964819233749, -26.10320140401399, -27.67027068763381]","[-39.1381966449305, -50.92826191276265, -5.204692815943234]","3174.9490717","-1.97858","1.58462","-2.01178649537","6.752524463","-17.1139320383","123.336025924","-3.68591","-0.516939","6.36851","2.71359","7.193678139","17.103586226","-6.84529098323","608.508664624","3.94789","9.67759","0.168972","0.063766","0.189745634995","0.0101565250196","-6.56842396793e-05","0.000229466773232","0.113199","0.247741","-0.00281925895251","0.24486076436","0.032681322603","0.170713578316","-0.0512608706097","0.0699810380411","-0.228912189603","0.263559162617","2.46518921852","0.359250068665","2.49742742415","0.302367392095","0.0850410538517","0.36660775798","2.13006496429","2.84625172615","",""
"24","[-25.052033460420713, -23.15402291998083, -26.539603594566145]","[-24.131788231936692, -48.599329729059946, -5.223548877422611]","3186.0909627","-2.17346","1.66696","-1.92003994243","8.0264630046","-16.7179109088","151.876726109","-3.76868","-0.43906","6.46952","2.68064","6.81952575245","11.5453043457","-15.9330589752","255.62964761","3.9613","9.37136","0.183781","0.060311","0.193143509891","0.00667010392106","-0.000226200670444","8.90319576903e-05","0.128847","0.25194","0.130939692259","0.240226730704","0.171770246879","0.142907610698","-0.0364717815622","0.0451838258886","-0.0831566080451","0.401687055826","2.29446649551","0.435050010681","2.28496560897","0.371545367497","0.0567211280812","0.38263084611","1.82625246048","2.69418692589","",""
